,Probit,Logit
sblack,0.0009114655654330679,0.0009937120327298391
shisp,0.0012846931001540645,0.0012401027478978449
sother,0.0012178417125493475,0.0010770229013667037
smale,0.0006975489690909605,0.0006575966994058883
sage,1.7287988539503153e-05,1.7817619891899997e-05
sempl,0.0010673180783374097,0.000984655581050235
sincome,0.0002181433047454026,0.0002448819262258925
spop,0.000246507426869185,0.0002617324105012422
daytime,0.00043327136260403143,0.0005050093286253882
inctype_lin,0.0066603514136056065,0.004554456755322807
omajwhite,0.00432852708230427,0.002575112000125712
sbehavior,0.006092268017015298,0.004936412406611596
omajblackhisp,0.0005612600909004904,0.0006034239658652094
