,LPM: Coefs,LPM: SE,Probit: Coefs,Probit: SE,Logit: Coefs,Logit: SE,LMP: PEA,LMP: PEA SE,Probit: PEA,Probit: PEA SE,Logit PEA,Logit: PEA SE
sblack,0.006623209840033119,0.007078414167529291,-0.18743868075562994,0.8216671206033073,-0.2409955764914354,1.6659000219983473,0.006623209840033119,0.007078414167529291,0.00011562572077441833,0.000978483324493214,0.00019980727689139767,0.0010959520568831478
shisp,0.013803501405256645,0.008841095480048893,0.1690047946438363,0.4727939836909474,0.606849179060395,1.0637944544449653,0.013803501405256645,0.008841095480048893,0.0006971521150682794,0.0015444518834745412,0.0009520765702716419,0.0016057027063700975
swhite,0.004440599281387139,0.005963409672252031,-0.21899331234410616,0.41720959755197784,-0.24684942551327427,1.0189499936106428,0.004440599281387139,0.005963409672252031,-0.0008592673674393228,0.001315677069909237,-0.0005572827951000924,0.001159857168214162
smale,0.00486811002921885,0.0022578078700620967,0.5115124260876565,0.22308554102157122,1.0911848681656149,0.5959295411979991,0.00486811002921885,0.0022578078700620967,0.0008613673869230412,0.0006939573010816478,0.0009092495820049832,0.0006753426085055971
sage,-0.001297727038957969,0.0006436633738680593,-0.18240566404795464,0.09196653603792462,-0.4595327032299754,0.2380435285697362,-0.001297727038957969,0.0006436633738680593,-2.5646139074241935e-05,1.8332703214036186e-05,-3.3477255511898055e-05,1.9511925607738544e-05
sempl,-0.005231846530815232,0.0031841993537603994,-0.43096859314907937,0.29536356646584816,-0.9730864637965693,0.7502335939088141,-0.005231846530815232,0.0031841993537603994,-0.00107357506461542,0.001012450311705811,-0.0010835027079729366,0.0009761230042463806
sincome,0.0016516804574464783,0.0014018093484959146,0.02224826042856001,0.14028983297313938,0.02851095721551695,0.3532455657013503,0.0016516804574464783,0.0014018093484959146,7.629188964701058e-05,0.00025183356940457766,6.612837178660789e-05,0.0002905605710329924
spop,0.00503017597801858,0.002085167666038206,0.17934744148178447,0.08898041909741165,0.46548210121535144,0.22334303932644237,0.00503017597801858,0.002085167666038206,0.00030162879887269095,0.0002554188575411219,0.00038801851427319094,0.0002619537705889375
daytime,-0.0016900983955140522,0.0027695568644559828,-0.1450406107772603,0.23206788734330042,-0.4160885412563139,0.5917400468058226,-0.0016900983955140522,0.0027695568644559828,-0.00022911821149069494,0.00042817260799439625,-0.00034792671375837383,0.0005279067321750338
inctype_lin,-0.01661824255155288,0.008347781497841218,-0.9732242192369523,0.20244526547157898,-2.0492980290035723,0.5307081609781557,-0.01661824255155288,0.008347781497841218,-0.008299386260222022,0.006157663621772645,-0.0056315559954310665,0.004400803322879242
omajwhite,0.027309525760566274,0.011847793983513284,-0.7173316841827047,0.32170648440265315,-1.5037330517192473,0.8602047352976736,0.027309525760566274,0.011847793983513284,-0.003798557527085267,0.0035095564638440535,-0.002794650966496817,0.0024965364590865628
sbehavior,0.036695526153799646,0.012254675725295653,1.0925665511440816,0.2500121213222008,2.578094847813483,0.6281959179858436,0.036695526153799646,0.012254675725295653,0.009868845482117373,0.006128323127068998,0.008306642517353666,0.004935848958658464
omajblackhisp,0.022635298191260495,0.012167574341644024,-2.2746031596271137,1.622407697263835,-4.739546956915524,3.7259535479097172,0.022635298191260495,0.012167574341644024,-0.0008045154438349274,0.0005074287485563142,-0.0010614461223629563,0.0005721396685773375
